# y+ ()       
# Time        	patch         	min           	max           	average       
0.125         	walls	5.361667e+00	3.993976e+01	1.500254e+01
0.125         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.126         	walls	5.384186e+00	3.993967e+01	1.500292e+01
0.126         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.127         	walls	5.402464e+00	3.993976e+01	1.500467e+01
0.127         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.128         	walls	5.376359e+00	3.993959e+01	1.500316e+01
0.128         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.129         	walls	5.350515e+00	3.993969e+01	1.500256e+01
0.129         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.13          	walls	5.408875e+00	3.993986e+01	1.500454e+01
0.13          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.131         	walls	5.334023e+00	3.993964e+01	1.500169e+01
0.131         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.132         	walls	5.382373e+00	3.993969e+01	1.500357e+01
0.132         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.133         	walls	5.387111e+00	3.993962e+01	1.500413e+01
0.133         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.134         	walls	5.355697e+00	3.993951e+01	1.500337e+01
0.134         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.135         	walls	5.402179e+00	3.993964e+01	1.500378e+01
0.135         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.136         	walls	5.346438e+00	3.993963e+01	1.500307e+01
0.136         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.137         	walls	5.367290e+00	3.993961e+01	1.500320e+01
0.137         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.138         	walls	5.385889e+00	3.993964e+01	1.500430e+01
0.138         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.139         	walls	5.401292e+00	3.993971e+01	1.500281e+01
0.139         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.14          	walls	5.419843e+00	3.993966e+01	1.500449e+01
0.14          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.141         	walls	5.367098e+00	3.993971e+01	1.500366e+01
0.141         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.142         	walls	5.354172e+00	3.993978e+01	1.500363e+01
0.142         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.143         	walls	5.360210e+00	3.993972e+01	1.500263e+01
0.143         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.144         	walls	5.350875e+00	3.993969e+01	1.500267e+01
0.144         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.145         	walls	5.378609e+00	3.993961e+01	1.500276e+01
0.145         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.146         	walls	5.380152e+00	3.993976e+01	1.500304e+01
0.146         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.147         	walls	5.372672e+00	3.993971e+01	1.500294e+01
0.147         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.148         	walls	5.424795e+00	3.993963e+01	1.500326e+01
0.148         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.149         	walls	5.380309e+00	3.993976e+01	1.500290e+01
0.149         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.15          	walls	5.394025e+00	3.993960e+01	1.500347e+01
0.15          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.151         	walls	5.338707e+00	3.993967e+01	1.500238e+01
0.151         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.152         	walls	5.397087e+00	3.993977e+01	1.500361e+01
0.152         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.153         	walls	5.362856e+00	3.993972e+01	1.500331e+01
0.153         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.154         	walls	5.364364e+00	3.993966e+01	1.500235e+01
0.154         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.155         	walls	5.340810e+00	3.993965e+01	1.500250e+01
0.155         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.156         	walls	5.373807e+00	3.993963e+01	1.500357e+01
0.156         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.157         	walls	5.335132e+00	3.993965e+01	1.500253e+01
0.157         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.158         	walls	5.404046e+00	3.993966e+01	1.500333e+01
0.158         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.159         	walls	5.388159e+00	3.993973e+01	1.500373e+01
0.159         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.16          	walls	5.323192e+00	3.993971e+01	1.500169e+01
0.16          	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.161         	walls	5.401328e+00	3.993967e+01	1.500364e+01
0.161         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.162         	walls	5.339405e+00	3.993958e+01	1.500270e+01
0.162         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.163         	walls	5.358609e+00	3.993966e+01	1.500316e+01
0.163         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.164         	walls	5.392095e+00	3.993940e+01	1.500457e+01
0.164         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
0.165         	walls	5.350159e+00	3.993963e+01	1.500216e+01
0.165         	rightWall	0.000000e+00	0.000000e+00	0.000000e+00
