"Points:0","Points:1","Points:2","arc_length","p"
0.154258,0.0818465,0.005,0.18821,144290
0.153919,0.0820042,0.005,0.188584,144384
0.153581,0.0821617,0.005,0.188957,144396
0.153243,0.0823192,0.005,0.189329,144417
0.152904,0.0824759,0.005,0.189703,144487
0.152565,0.0826315,0.005,0.190076,144468
0.152225,0.0827873,0.005,0.19045,144472
0.151883,0.0829437,0.005,0.190826,144550
0.151541,0.0831004,0.005,0.191202,144544
0.151196,0.0832585,0.005,0.191582,144560
0.150851,0.0834166,0.005,0.191961,144656
0.150504,0.0835759,0.005,0.192343,144668
0.150157,0.0837351,0.005,0.192725,144665
0.149808,0.0838929,0.005,0.193108,144720
0.149461,0.0840494,0.005,0.193488,144768
0.149114,0.0842054,0.005,0.193869,144748
0.148769,0.0843607,0.005,0.194247,144758
0.148425,0.0845157,0.005,0.194625,144840
0.148083,0.08467,0.005,0.195,144838
0.14774,0.0848243,0.005,0.195376,144859
0.147396,0.084979,0.005,0.195753,144950
0.147053,0.0851333,0.005,0.196129,144932
0.146705,0.0852868,0.005,0.19651,144922
0.146358,0.0854402,0.005,0.196889,144994
0.146008,0.0855947,0.005,0.197271,144982
0.145658,0.0857491,0.005,0.197654,144976
0.145308,0.0859035,0.005,0.198037,145046
0.144959,0.0860576,0.005,0.198418,145118
0.144612,0.0862111,0.005,0.198798,145128
0.144266,0.0863637,0.005,0.199176,145122
0.143919,0.0865131,0.005,0.199553,145167
0.143574,0.0866619,0.005,0.199929,145155
0.143229,0.0868106,0.005,0.200305,145154
0.142883,0.0869596,0.005,0.200682,145222
0.142537,0.0871087,0.005,0.201058,145230
0.142188,0.087259,0.005,0.201438,145246
0.141839,0.0874094,0.005,0.201818,145335
0.141487,0.0875604,0.005,0.202201,145335
0.141134,0.0877089,0.005,0.202584,145290
0.140781,0.0878576,0.005,0.202967,145322
0.140426,0.0880066,0.005,0.203352,145377
0.140072,0.0881554,0.005,0.203736,145370
0.139717,0.0883047,0.005,0.204122,145383
0.139363,0.0884537,0.005,0.204506,145464
0.139007,0.0886031,0.005,0.204892,145457
0.138651,0.0887499,0.005,0.205277,145424
0.138295,0.0888955,0.005,0.205661,145461
0.137939,0.089041,0.005,0.206046,145508
0.137584,0.0891862,0.005,0.206429,145494
0.137229,0.0893312,0.005,0.206813,145501
0.136872,0.0894772,0.005,0.207199,145586
0.136519,0.0896218,0.005,0.20758,145590
0.136158,0.0897669,0.005,0.207969,145549
0.135803,0.0899078,0.005,0.208351,145572
0.135441,0.0900512,0.005,0.208741,145616
0.135085,0.0901924,0.005,0.209123,145597
0.134727,0.0903346,0.005,0.209509,145606
0.134369,0.0904768,0.005,0.209894,145685
0.134013,0.090618,0.005,0.210277,145660
0.13365,0.0907587,0.005,0.210666,145628
0.133294,0.0908958,0.005,0.211048,145672
0.132931,0.0910354,0.005,0.211437,145708
0.132573,0.0911728,0.005,0.21182,145682
0.132213,0.0913113,0.005,0.212206,145692
0.131852,0.09145,0.005,0.212593,145764
0.131493,0.0915874,0.005,0.212977,145714
0.131125,0.0917241,0.005,0.213369,145685
0.130764,0.0918583,0.005,0.213755,145748
0.130392,0.0919966,0.005,0.214151,145786
0.13003,0.0921311,0.005,0.214538,145764
0.129658,0.0922695,0.005,0.214935,145766
0.129297,0.0924038,0.005,0.21532,145815
0.128926,0.0925373,0.005,0.215714,145832
0.128564,0.0926673,0.005,0.216099,145794
0.128197,0.0927993,0.005,0.216489,145782
0.127833,0.0929298,0.005,0.216875,145842
0.127466,0.0930616,0.005,0.217265,145822
0.1271,0.0931931,0.005,0.217654,145800
0.12673,0.0933219,0.005,0.218046,145836
0.12636,0.0934504,0.005,0.218438,145860
0.125987,0.0935796,0.005,0.218832,145814
0.125614,0.0937088,0.005,0.219227,145806
0.125241,0.0938384,0.005,0.219622,145872
0.124867,0.0939669,0.005,0.220018,145890
0.124492,0.0940925,0.005,0.220413,145823
0.124116,0.0942182,0.005,0.220809,145796
0.123741,0.0943439,0.005,0.221205,145858
0.123365,0.0944696,0.005,0.221601,145901
0.12299,0.0945953,0.005,0.221997,145844
0.122613,0.0947175,0.005,0.222393,145798
0.122236,0.0948394,0.005,0.222789,145847
0.121859,0.0949614,0.005,0.223186,145876
0.121481,0.0950837,0.005,0.223583,145830
0.121103,0.0952059,0.005,0.22398,145798
0.120721,0.0953262,0.005,0.224381,145833
0.12034,0.0954455,0.005,0.22478,145850
0.119955,0.095566,0.005,0.225183,145798
0.119572,0.0956857,0.005,0.225585,145778
0.119184,0.095807,0.005,0.225991,145808
0.118801,0.095923,0.005,0.226391,145806
0.118411,0.0960408,0.005,0.226799,145828
0.11803,0.0961558,0.005,0.227197,145798
0.11764,0.0962734,0.005,0.227604,145746
0.117262,0.0963863,0.005,0.227999,145752
0.116873,0.0965006,0.005,0.228404,145778
0.116496,0.0966114,0.005,0.228797,145740
0.116107,0.0967258,0.005,0.229202,145686
0.115726,0.0968375,0.005,0.229599,145694
0.115335,0.0969494,0.005,0.230006,145721
0.114948,0.0970603,0.005,0.230409,145678
0.114557,0.0971722,0.005,0.230815,145610
0.114165,0.0972847,0.005,0.231223,145597
0.113772,0.0973946,0.005,0.231631,145600
0.113376,0.0975052,0.005,0.232043,145610
0.112981,0.0976155,0.005,0.232453,145526
0.112587,0.0977255,0.005,0.232862,145446
0.112191,0.0978345,0.005,0.233272,145445
0.1118,0.0979421,0.005,0.233678,145434
0.111405,0.098051,0.005,0.234088,145426
0.111018,0.098157,0.005,0.234489,145334
0.110623,0.0982646,0.005,0.234898,145247
0.110245,0.0983688,0.005,0.23529,145243
0.109866,0.098473,0.005,0.235684,145235
0.109494,0.0985762,0.005,0.23607,145191
0.109121,0.0986793,0.005,0.236457,145128
0.108759,0.0987806,0.005,0.236832,145086
0.108398,0.0988818,0.005,0.237207,145052
0.108049,0.0989806,0.005,0.23757,145004
0.107701,0.0990793,0.005,0.237932,144927
0.107368,0.0991752,0.005,0.238278,144844
0.107036,0.099271,0.005,0.238624,144776
0.10672,0.0993637,0.005,0.238953,144708
0.106406,0.0994562,0.005,0.239281,144626
0.106108,0.0995455,0.005,0.239592,144542
0.105813,0.0996347,0.005,0.2399,144458
0.105534,0.0997208,0.005,0.240192,144370
0.105258,0.0998067,0.005,0.240481,144276
0.104996,0.0998898,0.005,0.240756,144186
0.10474,0.0999729,0.005,0.241025,144096
0.104495,0.100054,0.005,0.241283,144006
0.104257,0.100135,0.005,0.241534,143924
0.104028,0.100213,0.005,0.241776,143845
0.103807,0.100293,0.005,0.242011,143730
0.103593,0.100371,0.005,0.242239,143582
0.103387,0.100451,0.005,0.24246,143430
0.103187,0.10053,0.005,0.242675,143261
0.102996,0.100611,0.005,0.242883,143028
0.102808,0.100692,0.005,0.243087,142728
0.102632,0.100778,0.005,0.243283,142272
0.102457,0.100863,0.005,0.243478,141575
0.102301,0.100956,0.005,0.243659,140755
0.102145,0.101048,0.005,0.24384,140306
0.102034,0.101152,0.005,0.243993,140450
0.101922,0.101255,0.005,0.244145,142014
0.101889,0.10137,0.005,0.244264,144289
0.101856,0.101484,0.005,0.244383,146282
0.10191,0.1016,0.005,0.244511,147980
0.101964,0.101717,0.005,0.24464,149062
0.102082,0.101825,0.005,0.2448,149810
0.102201,0.101933,0.005,0.244961,150216
0.102358,0.102027,0.005,0.245144,150426
0.102517,0.102121,0.005,0.245328,150504
0.102701,0.102201,0.005,0.245529,150516
0.10289,0.102281,0.005,0.245734,150494
0.103095,0.102352,0.005,0.245951,150446
0.103307,0.102423,0.005,0.246175,150380
0.103531,0.102488,0.005,0.246408,150310
0.103765,0.102553,0.005,0.246651,150245
0.104008,0.102614,0.005,0.246901,150184
0.104264,0.102675,0.005,0.247164,150129
0.104527,0.102733,0.005,0.247434,150080
0.104806,0.102792,0.005,0.247719,150036
0.105091,0.10285,0.005,0.24801,149993
0.105393,0.102907,0.005,0.248317,149948
0.105701,0.102964,0.005,0.24863,149902
0.106027,0.10302,0.005,0.248961,149856
